Date,Close,EPS - Est High (NTM).L1,EPS - Est High (NTM).L4,EPS - Est High (NTM).L6,EPS - Est High (NTM).L9,EPS - Est High (NTM).L15,EPS - Est High (NTM).L18,# Sell.L1,# Sell.L16,% Sell.L1,% Sell.L16,Mkt Cap.L1,Mkt Cap.L4,Mkt Cap.L7,Mkt Cap.L10,Mkt Cap.L17,Mkt Cap.L18,EPS - Est Avg (NTM).L1,EPS - Est Avg (NTM).L16
2/7/2003,23.29,1.075,1.075,1.075,1.075,1.085,1.08,0.0,0.0,0.0,0.0,249235.2637,253194.7762,258132.24,263108.67,300844.7343,304587.2492,21.44,21.8
2/10/2003,23.69,1.075,1.075,1.075,1.075,1.085,1.08,0.0,0.0,0.0,0.0,253515.8178,251268.5269,253943.8732,261235.82,296177.85,300844.7343,21.4,21.4
2/11/2003,23.22,1.075,1.075,1.075,1.075,1.085,1.13,0.0,0.0,0.0,0.0,248486.1667,253729.8455,259829.6351,267068.41,275362.46,296177.85,20.78,21.08
2/12/2003,23.22,1.075,1.075,1.075,1.075,1.085,1.085,0.0,0.0,0.0,0.0,248486.1667,249235.2637,253194.7762,258132.24,274666.83,275362.46,21.13,21.17
2/13/2003,23.495,1.075,1.075,1.075,1.075,1.085,1.085,0.0,0.0,0.0,0.0,251429.0477,253515.8178,251268.5269,253943.8732,272901.0,274666.83,20.06,21.79
2/14/2003,24.15,1.09,1.075,1.075,1.075,1.075,1.085,0.0,0.0,0.0,0.0,258438.455,248486.1667,253729.8455,259829.6351,279750.28,272901.0,20.06,22.11
2/18/2003,24.96,1.09,1.075,1.075,1.075,1.075,1.085,0.0,0.0,0.0,0.0,267106.5771,248486.1667,249235.2637,253194.7762,266747.35,279750.28,21.39,21.78
2/19/2003,24.53,1.09,1.075,1.075,1.075,1.075,1.085,0.0,0.0,0.0,0.0,262504.9815,251429.0477,253515.8178,251268.5269,263108.67,266747.35,21.19,21.62
2/20/2003,24.15,1.09,1.09,1.075,1.075,1.075,1.075,0.0,0.0,0.0,0.0,258438.455,258438.455,248486.1667,253729.8455,261235.82,263108.67,21.36,22.08
2/21/2003,24.61,1.09,1.09,1.075,1.075,1.075,1.075,0.0,0.0,0.0,0.0,263361.0923,267106.5771,248486.1667,249235.2637,267068.41,261235.82,21.78,21.82
2/24/2003,24.07,1.09,1.09,1.09,1.075,1.075,1.075,0.0,0.0,0.0,0.0,257582.3442,262504.9815,251429.0477,253515.8178,258132.24,267068.41,21.78,21.85
2/25/2003,24.19,1.09,1.09,1.09,1.075,1.075,1.075,0.0,0.0,0.0,0.0,258866.5105,258438.455,258438.455,248486.1667,253943.8732,258132.24,21.88,22.16
2/26/2003,23.6,1.09,1.09,1.09,1.075,1.075,1.075,0.0,0.0,0.0,0.0,252552.6931,263361.0923,267106.5771,248486.1667,259829.6351,253943.8732,21.64,22.05
2/27/2003,23.58,1.09,1.09,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,252338.6654,257582.3442,262504.9815,251429.0477,253194.7762,259829.6351,21.62,22.17
2/28/2003,23.7,1.09,1.09,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,253622.8317,258866.5105,258438.455,258438.455,251268.5269,253194.7762,22.01,22.09
3/3/2003,23.54,1.085,1.09,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,251910.61,252552.6931,263361.0923,267106.5771,253729.8455,251268.5269,21.81,21.44
3/4/2003,23.07,1.085,1.09,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,246880.9589,252338.6654,257582.3442,262504.9815,249235.2637,253729.8455,22.27,21.4
3/5/2003,23.44,1.085,1.09,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,250840.4715,253622.8317,258866.5105,258438.455,253515.8178,249235.2637,22.42,20.78
3/6/2003,23.27,1.085,1.085,1.09,1.09,1.075,1.075,0.0,0.0,0.0,0.0,249021.236,251910.61,252552.6931,263361.0923,248486.1667,253515.8178,22.69,21.13
3/7/2003,23.56,1.085,1.085,1.09,1.09,1.09,1.075,0.0,0.0,0.0,0.0,252124.6377,246880.9589,252338.6654,257582.3442,248486.1667,248486.1667,22.97,20.06
3/10/2003,22.95,1.085,1.085,1.085,1.09,1.09,1.075,0.0,0.0,0.0,0.0,245596.7927,250840.4715,253622.8317,258866.5105,251429.0477,248486.1667,22.88,20.06
3/11/2003,22.79,1.085,1.085,1.085,1.09,1.09,1.075,0.0,0.0,0.0,0.0,243884.571,249021.236,251910.61,252552.6931,258438.455,251429.0477,22.78,21.39
3/12/2003,23.39,1.085,1.085,1.085,1.09,1.09,1.09,0.0,0.0,0.0,0.0,250305.4022,252124.6377,246880.9589,252338.6654,267106.5771,258438.455,23.36,21.19
3/13/2003,24.67,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,264003.1754,245596.7927,250840.4715,253622.8317,262504.9815,267106.5771,24.42,21.36
3/14/2003,24.86,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,266036.4386,243884.571,249021.236,251910.61,258438.455,262504.9815,24.71,21.78
3/17/2003,25.93,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,277486.9209,250305.4022,252124.6377,246880.9589,263361.0923,258438.455,26.55,21.78
3/18/2003,26.04,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,278664.0733,264003.1754,245596.7927,250840.4715,257582.3442,263361.0923,26.78,21.88
3/19/2003,26.32,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,281660.4611,266036.4386,243884.571,249021.236,258866.5105,257582.3442,26.54,21.64
3/20/2003,26.25,1.085,1.085,1.085,1.085,1.09,1.09,0.0,0.0,0.0,0.0,280911.3642,277486.9209,250305.4022,252124.6377,252552.6931,258866.5105,27.45,21.62
3/21/2003,26.57,1.295,1.085,1.085,1.085,1.085,1.09,0.0,0.0,0.0,0.0,284335.8075,278664.0733,264003.1754,245596.7927,252338.6654,252552.6931,27.93,22.01
3/24/2003,25.29,1.295,1.085,1.085,1.085,1.085,1.09,0.0,0.0,0.0,0.0,270638.0343,281660.4611,266036.4386,243884.571,253622.8317,252338.6654,26.23,21.81
3/25/2003,25.49,1.295,1.085,1.085,1.085,1.085,1.09,0.0,0.0,0.0,0.0,272778.3113,280911.3642,277486.9209,250305.4022,251910.61,253622.8317,26.9,22.27
3/26/2003,25.25,1.295,1.295,1.085,1.085,1.085,1.085,0.0,0.0,0.0,0.0,270209.9789,284335.8075,278664.0733,264003.1754,246880.9589,251910.61,27.76,22.42
3/27/2003,25.04,1.295,1.295,1.085,1.085,1.085,1.085,0.0,0.0,0.0,0.0,267962.688,270638.0343,281660.4611,266036.4386,250840.4715,246880.9589,27.77,22.69
3/28/2003,24.67,1.295,1.295,1.295,1.085,1.085,1.085,0.0,0.0,0.0,0.0,264003.1754,272778.3113,280911.3642,277486.9209,249021.236,250840.4715,27.18,22.97
3/31/2003,24.21,1.295,1.295,1.295,1.085,1.085,1.085,0.0,0.0,0.0,0.0,259080.5382,270209.9789,284335.8075,278664.0733,252124.6377,249021.236,26.03,22.88
4/1/2003,24.35,1.29,1.295,1.295,1.085,1.085,1.085,0.0,0.0,0.0,0.0,260578.7321,267962.688,270638.0343,281660.4611,245596.7927,252124.6377,25.54,22.78
4/2/2003,25.72,1.29,1.295,1.295,1.295,1.085,1.085,0.0,0.0,0.0,0.0,275239.63,264003.1754,272778.3113,280911.3642,243884.571,245596.7927,26.38,23.36
4/3/2003,25.73,1.29,1.295,1.295,1.295,1.085,1.085,0.0,0.0,0.0,0.0,275346.6438,259080.5382,270209.9789,284335.8075,250305.4022,243884.571,26.65,24.42
4/4/2003,25.09,1.29,1.29,1.295,1.295,1.085,1.085,0.0,0.0,0.0,0.0,268497.7572,260578.7321,267962.688,270638.0343,264003.1754,250305.4022,26.22,24.71
4/7/2003,25.171,1.3,1.29,1.295,1.295,1.085,1.085,0.0,0.0,0.0,0.0,269364.5694,275239.63,264003.1754,272778.3113,266036.4386,264003.1754,26.82,26.55
4/8/2003,25.58,1.3,1.29,1.29,1.295,1.085,1.085,0.0,0.0,0.0,0.0,273741.436,275346.6438,259080.5382,270209.9789,277486.9209,266036.4386,26.52,26.78
4/9/2003,24.57,1.3,1.29,1.29,1.295,1.085,1.085,0.0,0.0,0.0,0.0,262933.0369,268497.7572,260578.7321,267962.688,278664.0733,277486.9209,25.06,26.54
4/10/2003,24.59,1.32,1.3,1.29,1.295,1.295,1.085,0.0,0.0,0.0,0.0,263147.0646,269364.5694,275239.63,264003.1754,281660.4611,278664.0733,25.67,27.45
4/11/2003,24.2,1.32,1.3,1.29,1.29,1.295,1.085,0.0,0.0,0.0,0.0,258973.5243,273741.436,275346.6438,259080.5382,280911.3642,281660.4611,25.75,27.93
4/14/2003,24.75,1.32,1.3,1.3,1.29,1.295,1.085,0.0,0.0,0.0,0.0,264859.2862,262933.0369,268497.7572,260578.7321,284335.8075,280911.3642,25.05,26.23
4/15/2003,24.61,1.13,1.32,1.3,1.29,1.295,1.295,0.0,0.0,0.0,0.0,263868.42,263147.0646,269364.5694,275239.63,270638.0343,284335.8075,25.13,26.9
4/16/2003,24.92,1.33,1.32,1.3,1.29,1.295,1.295,0.0,0.0,0.0,0.0,267192.24,258973.5243,273741.436,275346.6438,272778.3113,270638.0343,24.38,27.76
4/17/2003,25.5,1.33,1.32,1.32,1.3,1.295,1.295,0.0,0.0,0.0,0.0,273411.0,264859.2862,262933.0369,268497.7572,270209.9789,272778.3113,24.99,27.77
4/21/2003,25.21,1.33,1.13,1.32,1.3,1.295,1.295,0.0,0.0,0.0,0.0,270301.62,263868.42,263147.0646,269364.5694,267962.688,270209.9789,25.25,27.18
4/22/2003,25.74,1.33,1.33,1.32,1.3,1.29,1.295,0.0,0.0,0.0,0.0,275984.28,267192.24,258973.5243,273741.436,264003.1754,267962.688,25.58,26.03
4/23/2003,25.72,1.33,1.33,1.13,1.32,1.29,1.295,0.0,0.0,0.0,0.0,275769.84,273411.0,264859.2862,262933.0369,259080.5382,264003.1754,25.43,25.54
4/24/2003,25.49,1.33,1.33,1.33,1.32,1.29,1.295,0.0,0.0,0.0,0.0,273303.78,270301.62,263868.42,263147.0646,260578.7321,259080.5382,25.12,26.38
4/25/2003,25.21,1.33,1.33,1.33,1.32,1.29,1.29,0.0,0.0,0.0,0.0,270301.62,275984.28,267192.24,258973.5243,275239.63,260578.7321,28.97,26.65
4/28/2003,25.74,1.33,1.33,1.33,1.13,1.3,1.29,0.0,0.0,0.0,0.0,275984.28,275769.84,273411.0,264859.2862,275346.6438,275239.63,29.11,26.22
4/29/2003,25.809,1.33,1.33,1.33,1.33,1.3,1.29,0.0,0.0,0.0,0.0,276724.098,273303.78,270301.62,263868.42,268497.7572,275346.6438,28.89,26.82
4/30/2003,25.56,1.33,1.33,1.33,1.33,1.3,1.29,0.0,0.0,0.0,0.0,274054.32,270301.62,275984.28,267192.24,269364.5694,268497.7572,28.69,26.52
5/1/2003,25.71,1.33,1.33,1.33,1.33,1.32,1.3,0.0,0.0,0.0,0.0,275662.62,275984.28,275769.84,273411.0,273741.436,269364.5694,28.66,25.06
5/2/2003,26.13,1.33,1.33,1.33,1.33,1.32,1.3,0.0,0.0,0.0,0.0,280165.86,276724.098,273303.78,270301.62,262933.0369,273741.436,29.43,25.67
5/5/2003,25.86,1.33,1.33,1.33,1.33,1.32,1.3,0.0,0.0,0.0,0.0,277270.92,274054.32,270301.62,275984.28,263147.0646,262933.0369,29.96,25.75
5/6/2003,26.38,1.33,1.33,1.33,1.33,1.13,1.32,0.0,0.0,0.0,0.0,282846.36,275662.62,275984.28,275769.84,258973.5243,263147.0646,30.88,25.05
5/7/2003,25.99,1.33,1.33,1.33,1.33,1.33,1.32,0.0,0.0,0.0,0.0,278664.78,280165.86,276724.098,273303.78,264859.2862,258973.5243,30.7,25.13
5/8/2003,25.75,1.33,1.33,1.33,1.33,1.33,1.32,0.0,0.0,0.0,0.0,276091.5,277270.92,274054.32,270301.62,263868.42,264859.2862,30.45,24.38
5/9/2003,26.35,1.33,1.33,1.33,1.33,1.33,1.13,0.0,0.0,0.0,0.0,282524.7,282846.36,275662.62,275984.28,267192.24,263868.42,30.965,24.99
5/12/2003,26.21,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,281397.4022,278664.78,280165.86,276724.098,273411.0,267192.24,31.7,25.25
5/13/2003,25.99,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,279035.4248,276091.5,277270.92,274054.32,270301.62,273411.0,32.95,25.58
5/14/2003,25.63,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,275170.3708,282524.7,282846.36,275662.62,275984.28,270301.62,32.6,25.43
5/15/2003,25.79,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,276888.1726,281397.4022,278664.78,280165.86,275769.84,275984.28,32.63,25.12
5/16/2003,25.57,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,274526.1951,279035.4248,276091.5,277270.92,273303.78,275769.84,33.05,28.97
5/19/2003,24.8,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,266259.2741,275170.3708,282524.7,282846.36,270301.62,273303.78,31.56,29.11
5/20/2003,24.63,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,264434.1097,276888.1726,281397.4022,278664.78,275984.28,270301.62,31.48,28.89
5/21/2003,24.03,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.0,257992.3531,274526.1951,279035.4248,276091.5,276724.098,275984.28,31.75,28.69
