Date,Close,Close.L1,Close.L2,Close.L3,Close.L4,Close.L5,Close.L6,Close.L7,Close.L8,Close.L9,Close.L10,Close.L11,Close.L12,EPS - Est High (NTM).L1,% Buy.L1,% Hold.L1,Rating.L1
2/7/2003,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,24.41,24.585,24.925,26.14,25.5,1.075,0.6470588235294118,0.3529411764705882,4.16667
2/10/2003,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,24.41,24.585,24.925,26.14,1.075,0.6470588235294118,0.3529411764705882,4.16667
2/11/2003,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,24.41,24.585,24.925,1.075,0.625,0.375,4.13793
2/12/2003,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,24.41,24.585,1.075,0.625,0.375,4.13793
2/13/2003,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,24.41,1.075,0.625,0.375,4.13793
2/14/2003,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,24.955,1.075,0.625,0.375,4.13793
2/18/2003,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,24.12,1.09,0.625,0.375,4.13333
2/19/2003,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,23.73,1.09,0.625,0.375,4.13333
2/20/2003,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,24.28,1.09,0.625,0.375,4.13333
2/21/2003,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,23.66,1.09,0.625,0.375,4.13333
2/24/2003,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,23.48,1.09,0.625,0.375,4.13333
2/25/2003,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,23.71,1.09,0.625,0.375,4.13333
2/26/2003,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,23.29,1.09,0.6666666666666666,0.3333333333333333,4.17241
2/27/2003,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,23.69,1.09,0.7333333333333333,0.2666666666666666,4.24138
2/28/2003,23.7,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,23.22,1.09,0.7333333333333333,0.2666666666666666,4.24138
3/3/2003,23.54,23.7,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,23.22,1.09,0.7333333333333333,0.2666666666666666,4.24138
3/4/2003,23.07,23.54,23.7,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,23.495,1.085,0.7142857142857143,0.2857142857142857,4.21429
3/5/2003,23.44,23.07,23.54,23.7,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,24.15,1.085,0.7142857142857143,0.2857142857142857,4.21429
3/6/2003,23.27,23.44,23.07,23.54,23.7,23.58,23.6,24.19,24.07,24.61,24.15,24.53,24.96,1.085,0.7142857142857143,0.2857142857142857,4.21429
